CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
01;SR0DZ;OFF;439,537500;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,5375;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
02;SR0WW;OFF;438,825000;DUP-;7,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,825;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
03;SR1D;OFF;145,612500;DUP-;0,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6125;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
04;SR1G;OFF;145,625000;DUP-;0,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,625;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
05;SR1K;OFF;145,700000;DUP-;0,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
06;SR1RE;OFF;439,150000;DUP-;7,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,15;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
07;SR1RG;OFF;438,875000;DUP-;7,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
08;SR1SZ;OFF;439,075000;DUP-;7,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,075;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
09;SR1TS;OFF;29,670000;DUP-;0,100000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;29,67;OFF;,1;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
10;SR1WA;OFF;439,400000;DUP-;7,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,4;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
11;SR1WX;OFF;439,200000;DUP-;7,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,2;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
12;SR1Z;OFF;145,637500;DUP-;0,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6375;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
13;SR2BG;OFF;145,725000;DUP-;0,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,725;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
14;SR2BT;OFF;439,100000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,1;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
15;SR2BY;OFF;438,725000;DUP-;7,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,725;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
16;SR2C;OFF;145,600000;DUP-;0,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
17;SR2GD-C;OFF;439,087500;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,0875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
18;SR2GN;OFF;439,325000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,325;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
19;SR2GR;OFF;439,200000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,2;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
20;SR2GS;OFF;438,550000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,55;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
21;SR2GT;OFF;439,025000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,025;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
22;SR2J;OFF;145,750000;DUP-;0,600000;FM;OFF;2;TONE;74,4Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,75;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
23;SR2JJ;OFF;439,162500;DUP-;7,600000;FM;OFF;2;TONE;74,4Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,1625;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
24;SR2K;OFF;145,712500;DUP-;0,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7125;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
25;SR2KU;OFF;439,425000;DUP-;7,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,425;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
26;SR2PB;OFF;145,737500;DUP-;0,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,7375;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
27;SR2TO;OFF;438,775000;DUP-;7,600000;FM;OFF;2;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,775;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
28;SR2VV;OFF;439,137500;DUP-;7,600000;FM;OFF;2;TONE;74,4Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,1375;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
29;SR2WL;OFF;439,025000;DUP-;7,600000;FM;OFF;2;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,025;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
30;SR2Z;OFF;145,650000;DUP-;0,600000;FM;OFF;2;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,65;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
31;SR3G;OFF;145,750000;DUP-;0,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,75;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
32;SR3GO;OFF;439,175000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,175;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
33;SR3GW;OFF;438,950000;DUP-;7,600000;FM;OFF;2;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,95;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
34;SR3JA;OFF;438,975000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,975;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
35;SR3L;OFF;145,775000;DUP-;0,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,775;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
36;SR3LS;OFF;439,275000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,275;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
37;SR3LW;OFF;439,125000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,125;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
38;SR3MDW;OFF;439,225000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,225;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
39;SR3N;OFF;145,687500;DUP-;0,600000;FM;OFF;2;TONE;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,6875;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
40;SR3O;OFF;145,725000;DUP-;0,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,725;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
41;SR3P;OFF;145,650000;DUP-;0,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;145,65;OFF;,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
42;SR3PB;OFF;438,875000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,875;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
43;SR3PO;OFF;439,200000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,2;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
44;SR3PX;OFF;438,900000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,9;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
45;SR3RR;OFF;438,825000;DUP-;7,600000;FM;OFF;2;TONE;103,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;438,825;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
46;SR3SR;OFF;439,100000;DUP-;7,600000;FM;OFF;2;TONE;110,9Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;;OFF;439,1;OFF;7,6;FM;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
